category_cc	join_date	channel	name_cc	subscribers_cc	videos_cc	subscriber_rank_sb	weights
Music	2010-12-03	UCb2HGwORFBo94DmRx4oLzow	One Direction	29939074	157	47.0	2.0869999999999997
Entertainment	2012-02-20	UCX6OQ3DkcsbYNE6H8uQQuVA	MrBeast	24300000	709	54.0	2.0869999999999997
Education	2011-12-14	UCcdwLMPsaU2ezNSJU1nFoBQ	Pinkfong! Kids' Song...	23200000	1382	55.0	2.0869999999999997
Music	2012-11-22	UCOsyDsO5tIt-VZ1iwjdQmew	Speed Records	25502155	7451	59.0	2.0869999999999997
Music	2012-09-23	UCa10nxShhzNrCE1o2ZOPztg	Trap Nation	27300000	1779	60.0	2.0869999999999997
Music	2009-09-02	UC3MLnJtqc_phABBriLRhtgQ	SonyMusicIndiaVEVO	24800000	3013	63.0	2.0869999999999997
Music	2011-05-16	UC9TO_oo4c_LrOiKNaY6aysA	Daddy Yankee	24630113	347	64.0	2.0869999999999997
Entertainment	2007-08-04	UC6-F5tO8uklgE9Zy8IvbdFw	SAB TV	23700000	25390	65.0	2.0869999999999997
Music	2009-05-12	UCANLZYMidaCbLQFWXBC95Jg	TaylorSwiftVEVO	27200000	102	69.0	2.0869999999999997
Music	2009-05-12	UC2xskkQVFEpLcGFnNSLQY0A	RihannaVEVO	26095809	106	76.0	2.0869999999999997
Music	2009-05-12	UC20vb-R_px4CguHzzBPhoyQ	EminemVEVO	26000000	84	77.0	2.0869999999999997
Music	2013-02-06	UCiGm_E4ZwYSHV3bcW1pnSeQ	Billie Eilish	20735006	22	78.0	2.0869999999999997
Music	2009-12-13	UC-8Q-hLdECwQmaWNwXitYDw	KatyPerryVEVO	26000000	132	79.0	2.0869999999999997
Entertainment	2014-05-13	UCKqx9r4mrFglauNBJc1L_eg	[토이푸딩] ToyPu...	25600000	2851	80.0	2.0869999999999997
Education	2013-10-25	UCRx3mKNUdl8QE06nEug7p6Q	Billion Surprise Toy...	24700000	150	83.0	2.0869999999999997
Comedy	2005-11-19	UCY30JRSgfhYXA6i6xX1erWg	Smosh	24800000	1074	85.0	2.0869999999999997
Gaming	2012-05-26	UC7_YxT-KID8kRbqZo7MyscQ	Markiplier	24400000	4484	86.0	2.0869999999999997
Gaming	2011-09-15	UCKqH_9mk1waLgBiL2vT5b9g	VanossGaming	24800000	1079	87.0	2.0869999999999997
Music	2011-08-14	UC_aEa8K-EOJ3D6gOs7HcyNg	NoCopyrightSounds	23500000	666	88.0	2.0869999999999997
Music	2011-01-19	UCAvCL8hyXjSUHKEGuUPr1BA	Shawn Mendes	23479003	87	89.0	2.0869999999999997
Entertainment	2008-07-16	UCstEtN0pgOmCf02EdXsGChw	ABS-CBN Entertainmen...	21708527	128728	90.0	2.0869999999999997
Education	2011-06-22	UCKAqou7V9FAWXpZd9xtOg3Q	Little Baby Bum - Nu...	19900000	958	93.0	2.0869999999999997
Music	2015-06-23	UCM9r1xn6s30OnlJWb-jc3Sw	XXXTENTACION	21900000	76	94.0	2.0869999999999997
Entertainment	2015-03-17	UChGJGhZ9SOOHvBB0Y4DOO_w	Ryan ToysReview	21600000	1512	95.0	2.0869999999999997
Comedy	2006-01-08	UC8-Th83bH_thdKZDJCrn88g	The Tonight Show Sta...	22100000	5450	96.0	2.0869999999999997
Music	2011-02-18	UCt-k6JwNWHMXDBGm9IYHdsg	J Balvin	22275879	40	97.0	2.0869999999999997
Music	2014-08-05	UC4NALVCmcmL5ntpV0thoH6w	LooLoo Kids - Nurser...	18500000	415	98.0	2.0869999999999997
Gaming	2007-02-24	UCYzPXprvl5Y-Sf0g4vX-m6g	jacksepticeye	22833014	4255	99.0	2.0869999999999997
Comedy	2005-09-22	UCV9_KinVpV-snHe3C3n1hvA	shane	22300000	1690	100.0	2.0869999999999997
Entertainment	2005-12-11	UCppHT7SZKKvar4Oc9J4oljQ	Zee TV	35300000	81392	101.0	2.0869999999999997
Music	2006-03-13	UCq-Fj5jknLsUf-MWSy4_brA	T-Series	112139463	13839	102.0	2.0869999999999997
Gaming	2011-11-11	UCAW-NpUFkMyCNrvRSSGIvDQ	Ninja	22400000	929	104.0	2.0869999999999997
Music	2010-12-04	UCbW18JZRgko_mOGm5er8Yzg	OneDirectionVEVO	22900000	171	105.0	2.0869999999999997
Music	2008-11-08	UC-yXuc1__OzjwpsJPlxYUCQ	WORLDSTARHIPHOP	22000000	4380	106.0	2.0869999999999997
Entertainment	2008-06-13	UC55IWqFLDH1Xp7iu1_xknRA	Colors TV	20200000	32696	107.0	2.0869999999999997
Education	2008-08-26	UCsPF3cApzCohxPp5oKdoWSQ	CVS 3D Rhymes	21600000	326	108.0	2.0869999999999997
Gaming	2012-07-14	UCS5Oz6CHmeoF7vSad0qqXfw	DanTDM	22100000	3211	109.0	2.0869999999999997
Entertainment		UCBR8-60-B28hp2BmDPdntcQ	YouTube	28200000	301	110.0	2.0869999999999997
Music	2010-06-11	UCP6uH_XlsxrXwZQ4DlqbqPg	Shemaroo Filmi Gaane...	27700000	6277	111.0	2.0869999999999997
Entertainment	2006-11-21	UCJ0uqCI0Vqr2Rrt1HseGirg	The Late Late Show w...	20600000	3613	112.0	2.0869999999999997
Entertainment	2007-02-27	UCX52tYZiEh_mHoFja3Veciw	Eros Now	20100000	10086	113.0	2.0869999999999997
Entertainment	2007-01-25	UCaWd5_7JhbQBe4dknZhsHJg	WatchMojo.com	21284359	17081	114.0	2.0869999999999997
Music	2006-03-09	UCBVjMGOIkavEAhyqpxJ73Dw	Maroon 5	27100000	154	115.0	2.0869999999999997
Music	2007-07-12	UCpDJl2EmP7Oh90Vylx0dZtA	Spinnin' Records	25968404	9106	116.0	2.0869999999999997
Entertainment	2006-07-21	UCSAUGyc_xA8uYzaIVG6MESQ	nigahiga	21400000	390	117.0	2.0869999999999997
Music	2006-10-24	UC4rasfm9J-X4jNl9SvXp8xA	Ultra Music	19600000	3839	118.0	2.0869999999999997
Music	2006-03-18	UCEf_Bc-KVd7onSeifS3py9g	SMTOWN	19800000	3842	119.0	2.0869999999999997
Music	2009-12-11	UC1l7wYrva1qCH-wgqcHaaRg	David Guetta	20800000	520	120.0	2.0869999999999997
Entertainment	2009-07-25	UCVtFOytbRpEvzLjvqGG5gxQ	KSI	20400000	1195	123.0	2.0869999999999997
Music	2009-08-03	UCT9zcQNlyht7fRlcjmflRSA	ImagineDragons	19627716	51	124.0	2.0869999999999997
Music	2011-09-26	UCcvNYxWXR_5TjVK7cSCdW-g	T-Series Apna Punjab...	18800000	4322	125.0	2.0869999999999997
Entertainment	2007-09-01	UCF1JIbMUs6uqoZEY1Haw0GQ	Shemaroo	18700000	6766	126.0	2.0869999999999997
Music	2008-04-04	UCsRM0YB_dabtEPGPTKo-gcw	Adele	20289957	13	127.0	2.0869999999999997
Film and Animation	2006-06-07	UCbTLwN10NoCU4WDzLf1JMOA	YRF	23400000	3709	128.0	2.0869999999999997
Entertainment	2009-10-21	UCmL1WlDI8UkXDXCXcBQN9CA	Ultra Bollywood	18200000	10320	130.0	2.0869999999999997
Music	2011-02-13	UCaayLD9i5x4MmIoVZxXSv_g	T-Series Bhakti Saga...	22200000	20381	131.0	2.0869999999999997
Education	2006-09-08	UCLsooMJoIpl_7ux2jvdPB-Q	Super Simple Songs -...	17400000	470	133.0	2.0869999999999997
Music	2008-05-09	UCVp3nfGRxmMadNDuVbJSk8A	Wiz Khalifa	19200000	473	134.0	2.0869999999999997
Entertainment	2015-08-29	UCG8rbF3g2AMX70yOd8vqIZg	Logan Paul Vlogs	19800000	645	136.0	2.0869999999999997
Music	2013-08-28	UC3jOd7GUMhpgJRBhiLzuLsg	Nicki Minaj	19727756	19	137.0	2.0869999999999997
Music	2012-09-22	UCq3Ci-h945sbEYXpVlw7rJg	The Chainsmokers	19500000	182	138.0	2.0869999999999997
Comedy	2010-02-16	UC9gFih9rw0zNCK3ZtoKQQyA	JennaMarbles	19900000	466	139.0	2.0869999999999997
Nonprofits & Activism	2009-06-23	UCsT0YIqwnpJCM-mx7-gSA4Q	TEDx Talks	20700000	141627	140.0	2.0869999999999997
Entertainment	2007-06-04	UC0v-tlzsn0QZwJnkiaUSJVQ	FBE	19600000	2080	143.0	2.0869999999999997
People & Blogs	2013-09-19	UCcgVECVN4OKV6DH1jLkqmcA	Jake Paul	19600000	824	144.0	2.0869999999999997
Education	2014-06-06	UC1ciY6kR3yj3kaKZ6R7ewAg	Infobells - Hindi	16600000	274	145.0	2.0869999999999997
Music	2009-06-05	UCByOQJjav0CUDwxCk-jVNRQ	Drake	19036382	48	146.0	2.0869999999999997
Music	2015-08-24	UCtW7qWjpCZ8zps-Cf2NF26w	Gaane Sune Ansune	17337898	2266	147.0	2.0869999999999997
Music	2005-09-22	UCWi_65E_L8tQZ34C6wVAlpQ	Venus	16800000	4204	148.0	2.0869999999999997
Entertainment	2015-02-06	UCw8ZhLPdQ0u_Y-TLKd61hGA	1MILLION Dance Studi...	17791046	1669	149.0	2.0869999999999997
Music	2009-09-02	UCGnjeahCJW1AF34HBmQTJ-Q	shakiraVEVO	19200000	144	153.0	2.0869999999999997
Entertainment	2011-01-19	UCwD4x63A9KC7Si2RuSfg-SA	Lucas and Marcus	17100000	498	156.0	2.0869999999999997
Music	2007-04-12	UC-6czyMkxDi8E8akPl0c7_w	Enrique Iglesias	18183321	359	157.0	2.0869999999999997
People & Blogs	2011-08-10	UCpko_-a4wgz2u_DgDgd9fqA	BuzzFeedVideo	19400000	6334	158.0	2.0869999999999997
Entertainment	2011-01-31	UCweOkPb1wVVH0Q0Tlj4a5Pw	1theK (원더케이)...	17600000	16172	159.0	2.0869999999999997
Entertainment	2006-03-24	UCEKWXRsfUHkan-D_ljU8Asw	Rajshri	16029978	5569	160.0	2.0869999999999997
Entertainment	2011-08-09	UC7TTtOQKMXTWWMtWQMIgVSA	Collins Key	19400000	239	161.0	2.0869999999999997
Music	2005-11-07	UCuHzBCaKmtaLcRAOoazhCPA	Beyoncé	19397453	224	162.0	2.0869999999999997
Music	2006-12-20	UCcYrdFJF7hmPXRNaWdrko4w	ChrisBrownTV	17500000	18	163.0	2.0869999999999997
Comedy	2006-01-04	UCkAGrHCLFmlK3H2kd6isipg	Mr Bean	15700000	1644	164.0	2.0869999999999997
Music	2006-04-14	UC2pmfLm7iq6Ov1UwYrWYkZA	Vevo	18800000	1577	165.0	2.0869999999999997
Entertainment	2012-10-24	UC_vcKmg67vjMP7ciLnSxSHQ	Amit Bhadana	16600000	62	166.0	2.0869999999999997
Music	2010-10-21	UC0VOyT2OCBKdQhF3BAbZ-1g	ArianaGrandeVevo	18712584	110	167.0	2.0869999999999997
Music	2014-06-09	UCmBA_wu8xGg1OfOkfW13Q0Q	Bad Bunny	19500000	33	168.0	2.0869999999999997
Entertainment	2016-03-17	UCgFXm4TI8htWmCyJ6cVPG_A	Toys and Colors	15500000	314	169.0	2.0869999999999997
Music	2016-10-22	UClZF7OsrECe3t_ADrjZEh_Q	Geet MP3	14900000	230	170.0	2.0869999999999997
Music	2010-04-06	UC_TVqp_SyG6j5hG-xVRy95A	Skrillex	18969722	168	171.0	2.0869999999999997
Music	2009-05-12	UCLp8RBhQHu9wSsq62j_Md6A	LuisFonsiVEVO	18100000	68	173.0	2.0869999999999997
Comedy	2013-09-02	UCxSz6JVYmzVhtkraHWZC7HQ	Liza Koshy	17200000	156	174.0	2.0869999999999997
Music	2011-09-10	UCmv1CLT6ZcFdTJMHxaR9XeA	PTXofficial	17100000	201	176.0	2.0869999999999997
Music	2010-05-20	UCgwv23FVv3lqh567yagXfNg	DisneyMusicVEVO	15600000	949	177.0	2.0869999999999997
Howto & Style	2018-01-18	UC2etEuPIfohP4P53wM0KImA	5-Minute Crafts GIRL...	16400000	1817	178.0	2.0869999999999997
Music	2008-09-24	UC_x8HoD18XJkILQBreVENUQ	DJ Snake	16400000	143	180.0	2.0869999999999997
Music	2011-02-25	UC0WP5P-ufpRfjbNrmOWwLBQ	The Weeknd	16114576	66	183.0	2.0869999999999997
Music	2007-02-11	UCIjYyZxkFucP_W-tmXg_9Ow	Calvin Harris	16832933	70	184.0	2.0869999999999997
People & Blogs	2016-01-10	UCWwWOFsW68TqXE-HZLC3WIA	The ACE Family	17600000	460	185.0	2.0869999999999997
Music	2009-10-28	UCPHjpfnnGklkRBBTd0k6aHg	Avicii	16600000	121	186.0	2.0869999999999997
Gaming	2012-04-17	UCpGdL9Sn3Q5YWUH2DVUW1Ug	PopularMMOs	16900000	4521	187.0	2.0869999999999997
Music	2011-12-15	UCeLHszkByNZtPKcaVXOCOQQ	Post Malone	15000000	30	188.0	2.0869999999999997
Entertainment	2015-12-01	UCucot-Zp428OwkyRm2I7v2Q	James Charles	16100000	234	190.0	2.0869999999999997
Music	2015-10-15	UC6pjHMC4QXMi4llCCjtDXWg	Lil pump	16100000	42	193.0	2.0869999999999997
Entertainment	2013-01-20	UCpB959t8iPrxQWj7G6n0ctQ	SSSniperWolf	17000000	2101	194.0	2.0869999999999997
Music	2007-11-19	UCN9HPn2fq-NL8M5_kp4RWZQ	Sia	15888088	62	195.0	2.0869999999999997
Gaming	2006-09-13	UCYVinkwSX7szARULgYpvhLw	Ali-A	16500000	3263	196.0	2.0869999999999997
News & Politics	2006-08-26	UCttspZesZIDEwwpVIgoZtWQ	IndiaTV	15177282	139814	199.0	2.0869999999999997
Entertainment	2015-06-20	UCqwUrj10mAEsqezcItqvwEw	BB Ki Vines	14962577	148	205.0	2.0869999999999997
Science & Technology	2010-12-21	UCsTcErHg8oDvUnTzoqsYeNw	Unbox Therapy	15300000	1672	206.0	2.0869999999999997
Film and Animation	2015-09-12	UCCrw5RBWF9i8VPt4IxL8IsQ	Goldmines	14400000	363	206.0	2.0869999999999997
News & Politics	2012-06-01	UCRWFSbif-RFENbBrSiez1DA	ABP NEWS	16274836	129027	207.0	2.0869999999999997
Music	2009-09-09	UCwppdrjsBPAZg5_cUwQjfMQ	Charlie Puth	15500000	83	208.0	2.0869999999999997
Music	2010-01-03	UCDPM_n1atn2ijUwHd0NNRQw	Coldplay	15021215	208	209.0	2.0869999999999997
Entertainment	2008-09-17	UC4PooiX37Pld1T8J5SYT-SQ	Good Mythical Mornin...	15700000	2307	210.0	2.0869999999999997
People & Blogs	2006-12-06	UCAuUUnT6oDeKwE6v1NGQxug	TED	14800000	3105	211.0	2.0869999999999997
Entertainment	2006-09-20	UCa6vGFO9ty8v5KZJXQxdhaw	Jimmy Kimmel Live	15200000	4207	212.0	2.0869999999999997
Gaming	2014-05-27	UC0DZmkupLYwc0yDsfocLh0A	Jelly	14206967	3651	213.0	2.0869999999999997
Entertainment	2008-01-30	UCZkURf9tDolFOeuw_4RD7XQ	Demi Lovato	15500000	189	215.0	2.0869999999999997
Comedy	2009-07-06	UC7eHZXheF8nVOfwB2PEslMw	ashish chanchlani vi...	14200000	130	218.0	2.0869999999999997
Music	2009-10-15	UComP_epzeKzvBX156r6pm1Q	AdeleVEVO	15903420	31	219.0	2.0869999999999997
Comedy	2015-09-19	UCi9cDo6239RAzPpBZO9y5SA	Lele Pons	15100000	119	220.0	2.0869999999999997
Howto & Style	2016-01-22	UCJFp8uSYCjXOMnkUyb3CQ3Q	Tasty	16000000	3318	221.0	2.0869999999999997
Howto & Style	2006-02-14	UCkvK_5omS-42Ovgah8KRKtg	jeffreestar	16000000	357	222.0	2.0869999999999997
Entertainment	2012-12-11	UC_W0_Nv-3rxpWVvosddhrPw	Doggy Doggy Cartoons...	15002312	1929	223.0	2.0869999999999997
Pets & Animals	2014-09-08	UC6E2mP01ZLH_kbAyeazCNdg	Brave Wilderness	14800000	547	225.0	2.0869999999999997
Entertainment	2016-01-14	UCCI5Xsd_gCbZb9eTeOf9FdQ	Like Nastya	14300000	237	226.0	2.0869999999999997
Music	2011-09-06	UCgtNC51EUSgcZ6kKyVoPxKA	Becky G	14232985	56	227.0	2.0869999999999997
Music	2006-11-28	UCZU9T1ceaOgwfLRq7OKFU4Q	Linkin Park	14760154	492	229.0	2.0869999999999997
Music	2009-05-12	UCN1hnUccO4FD5WfM7ithXaw	Maroon5VEVO	15300000	114	233.0	2.0869999999999997
Gaming	2013-01-31	UCD1Em4q90ZUK2R5HKesszJg	Clash of Clans	14600000	343	234.0	2.0869999999999997
Science & Technology	2007-07-30	UC6nSFpj9HTCZ5t-N3Rm3-HA	Vsauce	14700000	370	236.0	2.0869999999999997
People & Blogs	2008-05-15	UCNL1ZadSjHpjm4q9j2sVtOA	Lady Gaga	14495273	163	238.0	2.0869999999999997
Music	2009-11-24	UCjK8ORC71kwyj1DWFwril_A	SelenaGomezVEVO	15304988	127	239.0	2.0869999999999997
Science & Technology	2015-10-19	UCOhHO2ICt0ti9KAh-QHvttQ	Technical Guruji	13979890	2539	240.0	2.0869999999999997
People & Blogs	2013-08-12	UC-SV8-bUJfXjrRMnp7F8Wzw	Roman Atwood Vlogs	15300000	1637	241.0	2.0869999999999997
Howto & Style	2017-10-30	UC57XAjJ04TY8gNxOWf-Sy0Q	5-Minute Crafts KIDS...	15300000	2043	242.0	2.0869999999999997
Entertainment	2012-10-06	UCHwBjRoGO1V-H8QYXjSVHkQ	Toys And Little Gaby...	13600000	275	244.0	2.0869999999999997
Comedy	2010-10-29	UCfm4y4rHF5HGrSr-qbvOwOg	IISuperwomanII	14900000	779	245.0	2.0869999999999997
Entertainment	2012-07-26	UCjtLOfx1yt1NlnFIDyAX3Ug	W2S	14500000	648	248.0	2.0869999999999997
Music	2016-08-08	UCzI7wZyqk7jpXWT_MILjepw	Paulo Londra	13900000	39	249.0	2.0869999999999997
Entertainment	2006-07-18	UCMNmwqCtCSpftrbvR3KkHDA	Guava Juice	14300000	1380	250.0	2.0869999999999997
Entertainment	2006-02-08	UCMu5gPmKp5av0QCAajKTMhw	ERB	14593357	76	253.0	2.0869999999999997
Comedy	2011-07-05	UCPDis9pjXuqyI7RYLJ-TTSA	FailArmy	14600000	260	254.0	2.0869999999999997
Music	2005-10-07	UCyxbZF7_PK4nLiexj0kkCNg	Romeo Santos	13983190	14	256.0	2.0869999999999997
Entertainment	2006-06-29	UCT2X19JJaJGUN7mrYuImANQ	America's Got Talent...	13400000	2206	258.0	2.0869999999999997
Entertainment	2008-04-12	UCUtZaxDF3hD5VK4xRYFBePQ	Britain's Got Talent...	13900000	2539	260.0	2.0869999999999997
Entertainment	2015-03-28	UCfaZw8XH_zmAVkBst_MPD6w	CKN Toys	13300000	582	263.0	2.0869999999999997
Music	2011-08-22	UClkRzsdvg7_RKVhwDwiDZOA	JFlaMusic	13400000	235	264.0	2.0869999999999997
Comedy	2010-12-14	UCB0d0JLn1WcGYcwwZ87d2LA	Rclbeauty101	14400000	420	265.0	2.0869999999999997
People & Blogs	2017-11-06	UCQ7x25F6YXY9DvGeHFxLhRQ	shfa2 - شفا	7670000	256	266.0	2.0869999999999997
Film and Animation	2011-04-01	UCi8e0iOVk1fEOogdfu4YgfA	Movieclips Trailers	13900000	8084	267.0	2.0869999999999997
Film and Animation	2007-02-01	UCUAL--p3qAa27luR0IYbjZA	Pencilmation	12100000	535	268.0	2.0869999999999997
Entertainment	2012-07-12	UCilwZiBBfI9X6yiZRzWty8Q	FaZe Rug	13200000	1489	269.0	2.0869999999999997
Music	2012-04-02	UCRm96I5kmb_iGFofE5N691w	Bollywood Classics	12003831	1783	273.0	2.0869999999999997
Entertainment	2014-08-21	UC_hSjGOO67A6gIDUcyuv_8A	Infinite	12500000	851	274.0	2.0869999999999997
Howto & Style	2011-12-08	UCR4s1DE9J4DHzZYXMltSMAg	HowToBasic	13700000	499	277.0	2.0869999999999997
Howto & Style	2010-09-09	UCD9PZYV5heAevh9vrsYmt1g	Wengie	13915503	260	278.0	2.0869999999999997
People & Blogs	2014-12-19	UCmh5gdwCx6lN7gEC20leNVA	David Dobrik	13900000	601	280.0	2.0869999999999997
Entertainment	2010-03-15	UCpcsv3Ow-8IhoUGDEfPetsQ	Venus Movies	11946216	2619	283.0	2.0869999999999997
Film and Animation	2016-01-06	UCK5Q72Uyo73uRPk8PmM2A3w	Genevieve's Playhous...	11800000	485	285.0	2.0869999999999997
Entertainment	2014-01-20	UCdxi8d8qRsRyUi2ERYjYb-w	TheRichest	13500000	2355	286.0	2.0869999999999997
Education	2013-08-30	UC7Pq3Ko42YpkCB_Q4E981jw	Kids TV - Nursery Rh...	13700000	2490	287.0	2.0869999999999997
Comedy	2014-08-30	UCo8bcnLyZH8tBIH9V1mLgqQ	TheOdd1sOut	12700000	113	288.0	2.0869999999999997
Entertainment	2015-04-25	UChM5Ff2yVeIZ16EWiB081cg	Reaction Time	13800000	1543	289.0	2.0869999999999997
Gaming	2010-07-04	UCm3hAp1m1xlAz0ve_EKAo4g	Talking Tom	11200000	249	290.0	2.0869999999999997
People & Blogs	2012-02-13	UCBqFKDipsnzvJdt6UT0lMIg	Sandeep Maheshwari	12000000	240	296.0	2.0869999999999997
Comedy	2006-10-09	UCPDXXXJj9nax0fr0Wfc048g	CollegeHumor	13400000	3517	298.0	2.0869999999999997
Music	2007-09-02	UCgc00bfF_PvO_2AvqJZHXFg	Boyce Avenue	13100000	369	299.0	2.0869999999999997
Music	2011-11-02	UCqjjyPUghDSSKFBABM_CXMw	Anitta	12500000	54	300.0	2.0869999999999997
Entertainment	2005-06-16	UCvC4D8onUfXzvjTOM-dBfEA	Marvel Entertainment...	13200000	6332	302.0	2.0869999999999997
Entertainment	2009-09-15	UCn7dB9UMTBDjKtEKBy_XISw	Miley Cyrus	13173870	77	304.0	2.0869999999999997
Music	2012-10-12	UC65afEgL62PGFWXY7n6CUbA	Trap City	13145196	1814	305.0	2.0869999999999997
Entertainment	2015-03-04	UCfRNJiafEm1LBBGFTTq4cXw	GEN HALILINTAR	11800000	563	307.0	2.0869999999999997
Music	2009-09-02	UC9zX2xZIJ4cnwRsgBpHGvMg	BeyoncéVEVO	13466870	139	308.0	2.0869999999999997
Entertainment	2006-05-07	UCpVm7bg6pXKo1Pr6k5kxG9A	National Geographic	12300000	9260	310.0	2.0869999999999997
Howto & Style	2008-06-23	UCzTKskwIc_-a0cGvCXA848Q	NikkieTutorials	12269235	742	312.0	2.0869999999999997
Film and Animation	2013-10-09	UCAOtE1V7Ots4DjM8JLlrYgg	Peppa Pig - Official...	10000000	499	313.0	2.0869999999999997
Music	2011-01-15	UC5H_KXkPbEsGs0tFt8R35mA	Martin Garrix	12894056	125	314.0	2.0869999999999997
Music	2010-04-01	UCaum3Yzdl3TbBt8YUeUGZLQ	NickiMinajAtVEVO	13248988	64	316.0	2.0869999999999997
Music	2013-02-21	UCMtpmPs9end-dTNwVq16g4Q	Fifth Harmony	12900000	67	317.0	2.0869999999999997
Sports	2005-11-21	UCWJ2lWNubArHWmf3FIHbfcQ	NBA	11900000	31357	323.0	2.0869999999999997
Music	2006-07-05	UCv8nzwVPQDRjkPCkEsOdEwA	Pitbull	12612398	228	324.0	2.0869999999999997
Entertainment	2010-08-15	UCUK0HBIBWgM2c4vsPhkYY4w	The Slow Mo Guys	12900000	260	325.0	2.0869999999999997
Entertainment	2013-11-03	UCelMeixAOTs2OQAAi9wU8-g	CookieSwirlC	12200000	3182	327.0	2.0869999999999997
Music	2014-03-23	UCopY0NAzASqmD6eVaRj2TFQ	White Hill Music	10801005	3709	329.0	2.0869999999999997
Gaming	2006-09-19	UCKy1dAqELo0zrOtPkf0eTMw	IGN	12400000	134606	333.0	2.0869999999999997
Music	2015-08-11	UCio_FVgKVgqcHrRiXDpnqbw	Camila Cabello	11700000	29	335.0	2.0869999999999997
Entertainment	2006-01-16	UCoookXUzPciGrEZEXmh4Jjg	Sesame Street	9200000	2844	337.0	2.0869999999999997
Education	2016-07-15	UCpYye8D5fFMUPf9nSfgd4bA	BabyBus - Kids Songs...	7200000	1270	339.0	2.0869999999999997
News & Politics	2017-03-03	UCmphdqZNmqL72WJ2uyiNw5w	ABP NEWS HINDI	10800000	51298	340.0	2.0869999999999997
Music	2006-06-09	UClVrJwcIy7saPcGc1nct80A	Fueled By Ramen	12400000	1166	343.0	2.0869999999999997
Music	2012-03-15	UCbomPUMyPHCgrqD5iYnzj1A	Worldwide Records Bh...	10800000	2583	345.0	2.0869999999999997
Entertainment	2012-07-17	UCWOA1ZGywLbqmigxE4Qlvuw	Netflix	11100000	3166	346.0	2.0869999999999997
Music	2010-05-31	UCmdY1pHB-KbFYxOyhwjVeQw	MattyBRaps	12500000	248	348.0	2.0869999999999997
